あの,um….,
いま,now,
えいご,English (language),
ええ,yes,
ごくせい,student,
～ご,language,
こうこう,high school,
ごご,P.M.,
ごぜん,A.M.,
～さい,…years old,
～さん,Mr./Ms….,
～じ,o'clock,
～じん,…people,
せんこう,major,
せんせい,teacher; Professor…,
そうです,That's right.,
そうですか,I see; Is that so?,
だいがく,college; university,
でんわ,telephone,
ともだち,friend,
なまえ,name,
なん・なに,what,
にほん,Japan,
～ねんせい,…year student,
はい,yes,
はん,half,
ばんごう,number,
りゅうがくせい,international student,
わたし,I,
アメリカ,America,
イギリス,Britain,
オーストライア,Australia,
かんこう,Korea,
スウェーデン,Sweden,
ちゅうごく,China,
かがく,science,
アジアけんきゅう,Asian studies,
けいざい,economics,
こくさいかんけい,international relations,
コンピューター,computer,
じんるいがく,anthropology,
せいじ,politics,
ビジネス,business,
ぶんがく,literature,
れきし,history,
しごと,job; work; occupation,
いしゃ,doctor,
かいしゃいん,office worker,
こうこうせい,high school student,
しゅふ,housewife,
だいがくいんせい,graduate student,
だいがくせい,college student,
べんごし,lawyer,
おかあさん,mother,
おとうさん,father,
おねえさん,older sister,
おにいさん,older brother,
いもうと,younger sister,
おとうと,younger brother,
ゼロ・れい,0,number
いち,1,number
に,2,number
さん,3,number
よん・し,4,number
ご,5,number
ろく,6,number
なな・しち,7,number
はち,8,number
きゅう・く,9,number
じゅう,10,number
じゅういち,11,number
じゅうに,12,number
じゅうさん,13,number
じゅうよん・じゅうし,14,number
じゅうご,15,number
じゅうろく,16,number
じゅうなな・じゅうしち,17,number
じゅうはち,18,number
じゅうきゅう・じゅうく,19,number
にじゅう,20,number
さんじゅう,30,number
よんじゅう,40,number
ごじゅう,50,number
ろくじゅう,60,number
ななじゅう,70,number
はちじゅう,80,number
きゅうじゅう,90,number
ひゃく,100,number
